"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"02/02/2023","49,900","46,950","49,900","46,300","4.86M","5.94%"
"01/02/2023","47,100","46,200","47,150","45,700","7.84M","1.29%"
"31/01/2023","46,500","45,900","46,500","45,350","2.72M","0.65%"
"30/01/2023","46,200","45,900","46,800","45,400","3.21M","0.65%"
"27/01/2023","45,900","46,400","46,900","45,900","2.48M","0.66%"
"19/01/2023","45,600","44,950","46,100","44,750","3.49M","1.45%"
"18/01/2023","44,950","43,500","45,200","43,250","3.69M","4.41%"
"17/01/2023","43,050","42,400","43,400","42,200","2.76M","2.74%"
"16/01/2023","41,900","42,050","42,300","41,700","1.41M","-0.36%"
"13/01/2023","42,050","42,400","42,650","42,050","1.09M","-0.12%"
"12/01/2023","42,100","42,550","43,000","42,050","986.10K","-1.06%"
"11/01/2023","42,550","42,300","43,200","42,300","1.46M","0.83%"
"10/01/2023","42,200","42,000","42,600","41,900","1.42M","0.48%"
"09/01/2023","42,000","43,150","43,300","42,000","2.66M","-2.67%"
"06/01/2023","43,150","43,600","43,850","43,150","1.51M","-1.03%"
"05/01/2023","43,600","43,900","44,000","43,300","1.10M","0.23%"
"04/01/2023","43,500","43,100","44,300","43,100","1.87M","-1.02%"
"03/01/2023","43,950","42,800","44,000","42,500","2.00M","2.45%"
"30/12/2022","42,900","42,800","43,000","42,050","1.65M","0.00%"
"29/12/2022","42,900","42,500","42,900","42,100","1.21M","-0.23%"
"28/12/2022","43,000","43,000","43,200","41,900","1.39M","-1.83%"
"27/12/2022","43,800","41,500","43,800","41,500","2.32M","2.82%"
"26/12/2022","42,600","45,500","45,750","42,600","2.56M","-6.99%"
"23/12/2022","45,800","46,500","46,500","45,550","1.58M","-1.51%"
"22/12/2022","46,500","46,350","46,700","45,300","1.52M","0.22%"
"21/12/2022","46,400","46,500","46,750","44,350","2.05M","-0.22%"
"20/12/2022","46,500","46,600","46,850","44,200","3.35M","-1.38%"
"19/12/2022","47,150","47,600","48,800","47,150","3.78M","-1.46%"
"16/12/2022","47,850","46,750","47,950","45,900","3.00M","1.81%"
"15/12/2022","47,000","46,450","47,500","46,150","2.54M","1.18%"
"14/12/2022","46,450","47,300","47,300","45,800","2.19M","0.11%"
"13/12/2022","46,400","45,750","46,400","44,400","1.96M","1.09%"
"12/12/2022","45,900","46,200","47,300","45,000","3.47M","-0.65%"
"09/12/2022","46,200","46,000","46,600","45,350","1.68M","0.43%"
"08/12/2022","46,000","45,800","47,000","45,200","2.63M","2.56%"
"07/12/2022","44,850","44,350","45,000","43,500","2.93M","1.13%"
"06/12/2022","44,350","47,200","47,200","44,350","4.09M","-6.83%"
"05/12/2022","47,600","47,050","48,850","47,050","4.15M","1.28%"
"02/12/2022","47,000","43,400","47,000","43,400","6.46M","6.70%"
"01/12/2022","44,050","45,000","45,600","42,750","5.86M","-0.11%"
"30/11/2022","44,100","43,600","45,000","43,000","3.78M","3.04%"
"29/11/2022","42,800","40,500","42,800","40,500","5.27M","6.60%"
"28/11/2022","40,150","38,300","40,400","38,300","4.32M","6.22%"
"25/11/2022","37,800","37,550","38,300","36,500","2.60M","0.27%"
"24/11/2022","37,700","39,200","39,200","37,700","7.86M","-6.91%"
"23/11/2022","40,500","40,300","40,900","40,100","1.51M","0.75%"
"22/11/2022","40,200","40,200","41,600","39,850","3.71M","-1.11%"
"21/11/2022","40,650","41,950","41,950","40,650","1.76M","-3.56%"
"18/11/2022","42,150","41,000","42,250","39,900","4.37M","0.84%"
"17/11/2022","41,800","41,750","42,900","40,800","2.86M","3.34%"
"16/11/2022","40,450","35,250","40,450","35,250","8.56M","6.87%"
"15/11/2022","37,850","38,200","39,500","37,850","2.98M","-6.89%"
"14/11/2022","40,650","42,000","42,750","40,400","3.51M","-5.47%"
"11/11/2022","43,000","43,400","44,400","43,000","3.57M","1.53%"
"10/11/2022","42,350","44,950","44,950","42,350","3.67M","-6.92%"
"09/11/2022","45,500","45,000","46,450","44,550","2.16M","2.02%"
"08/11/2022","44,600","42,850","45,600","41,300","4.12M","4.08%"
"07/11/2022","42,850","46,000","46,550","42,850","5.34M","-6.95%"
"04/11/2022","46,050","47,550","48,000","46,050","5.74M","-6.97%"
"03/11/2022","49,500","49,000","50,300","48,100","2.60M","3.13%"
"02/11/2022","48,000","50,000","50,300","46,800","4.32M","-4.19%"
"01/11/2022","50,100","52,000","52,500","50,100","2.00M","-2.91%"
"31/10/2022","51,600","52,400","52,900","49,500","3.90M","-3.01%"
"28/10/2022","53,200","53,500","54,400","52,800","1.80M","-0.19%"
"27/10/2022","53,300","51,300","53,900","51,300","2.99M","2.70%"
"26/10/2022","51,900","52,100","52,500","50,600","1.53M","-0.19%"
"25/10/2022","52,000","50,700","54,000","49,000","4.40M","2.77%"
"24/10/2022","50,600","54,500","55,000","50,600","4.83M","-6.99%"
"21/10/2022","54,400","58,300","58,300","54,400","4.24M","-6.85%"
"20/10/2022","58,400","58,200","59,000","57,900","1.81M","-1.02%"
"19/10/2022","59,000","59,200","59,500","58,300","1.41M","0.00%"
"18/10/2022","59,000","59,900","60,500","58,600","2.05M","0.17%"
"17/10/2022","58,900","59,600","59,600","57,800","2.67M","-1.67%"
"14/10/2022","59,900","58,000","60,300","58,000","2.99M","3.99%"
"13/10/2022","57,600","57,000","58,200","56,500","1.53M","0.17%"
"12/10/2022","57,500","55,500","58,800","55,500","2.89M","3.79%"
"11/10/2022","55,400","57,100","57,600","54,100","2.33M","-2.98%"
"10/10/2022","57,100","53,100","57,300","53,000","3.91M","5.74%"
"07/10/2022","54,000","56,500","57,900","54,000","5.57M","-6.90%"
"06/10/2022","58,000","62,200","62,300","58,000","3.17M","-6.75%"
"05/10/2022","62,200","61,000","63,100","61,000","2.12M","1.97%"
"04/10/2022","61,000","61,200","61,300","60,100","4.02M","2.35%"
"03/10/2022","59,600","62,900","62,900","59,600","4.03M","-6.88%"
"30/09/2022","64,000","63,700","64,200","61,700","4.37M","0.00%"
"29/09/2022","64,000","66,500","66,500","63,700","2.55M","-1.54%"
"28/09/2022","65,000","66,100","67,000","65,000","2.72M","-3.13%"
"27/09/2022","67,100","67,400","68,000","66,800","1.54M","-1.32%"
"26/09/2022","68,000","67,800","68,200","65,600","5.24M","-2.02%"
"23/09/2022","69,400","70,100","70,100","68,600","2.72M","-1.00%"
"22/09/2022","70,100","69,100","70,800","68,300","4.25M","0.14%"
"21/09/2022","70,000","71,000","71,000","70,000","3.11M","-2.37%"
"20/09/2022","71,700","70,900","72,000","69,200","3.38M","1.70%"
"19/09/2022","70,500","72,000","72,800","69,100","4.17M","-2.08%"
"16/09/2022","72,000","73,400","73,700","71,400","4.28M","-2.57%"
"15/09/2022","73,900","73,700","74,800","73,400","3.18M","0.27%"
"14/09/2022","73,700","72,700","73,900","72,600","3.70M","-0.54%"
"13/09/2022","74,100","74,000","74,400","73,300","1.96M","0.14%"
"12/09/2022","74,000","72,200","75,400","72,100","7.35M","2.78%"
"09/09/2022","72,000","72,000","72,400","70,800","2.78M","0.70%"
"08/09/2022","71,500","71,500","72,300","70,500","3.75M","1.13%"
"07/09/2022","70,700","72,600","72,800","70,600","5.67M","-3.02%"
"06/09/2022","72,900","72,600","73,300","72,400","2.60M","0.55%"
"05/09/2022","72,500","73,900","73,900","72,500","2.69M","-2.03%"
"31/08/2022","74,000","72,500","74,000","72,500","4.62M","0.95%"
"30/08/2022","73,300","74,500","75,000","72,900","4.23M","-0.95%"
"29/08/2022","74,000","71,800","74,000","70,700","7.69M","2.49%"
"26/08/2022","72,200","68,700","73,100","68,700","10.85M","5.56%"
"25/08/2022","68,400","67,700","68,700","67,300","5.15M","2.40%"
"24/08/2022","66,800","66,900","67,200","66,300","2.22M","-0.15%"
"23/08/2022","66,900","65,900","67,800","65,900","4.01M","0.60%"
"22/08/2022","66,500","64,600","66,900","64,500","5.86M","3.74%"
"19/08/2022","64,100","64,500","65,400","63,100","2.28M","-0.62%"
"18/08/2022","64,500","65,000","65,800","63,900","4.07M","-0.77%"
"17/08/2022","65,000","66,000","66,400","65,000","2.52M","-1.52%"
"16/08/2022","66,000","65,000","67,000","65,000","3.91M","1.54%"
"15/08/2022","65,000","63,300","65,000","63,000","4.43M","3.17%"
"12/08/2022","63,000","62,900","63,700","62,200","2.42M","0.00%"
"11/08/2022","63,000","64,000","64,200","62,500","2.72M","-0.94%"
"10/08/2022","63,600","63,300","64,300","63,000","1.97M","0.47%"
"09/08/2022","63,300","63,100","63,600","62,900","2.81M","0.64%"
"08/08/2022","62,900","62,700","62,900","62,300","2.49M","0.32%"
"05/08/2022","62,700","62,900","63,500","62,600","2.71M","0.00%"
"04/08/2022","62,700","62,200","63,000","62,100","4.34M","1.46%"
"03/08/2022","61,800","62,000","62,200","61,300","2.66M","-0.32%"
"02/08/2022","62,000","61,800","62,500","61,300","2.12M","1.14%"
"01/08/2022","61,300","61,000","61,900","60,000","3.26M","0.49%"
"29/07/2022","61,000","62,400","62,400","61,000","3.38M","-1.61%"
"28/07/2022","62,000","63,000","63,000","62,000","1.95M","-0.16%"
"27/07/2022","62,100","60,100","63,000","60,100","1.87M","-1.43%"
"26/07/2022","63,000","63,900","63,900","62,800","1.81M","-0.47%"
"25/07/2022","63,300","64,800","65,800","62,700","4.02M","-1.86%"
"22/07/2022","64,500","64,900","66,800","64,200","5.45M","0.62%"
"21/07/2022","64,100","61,200","64,500","61,200","5.00M","4.74%"
"20/07/2022","61,200","59,200","63,000","58,200","7.38M","2.00%"
"19/07/2022","60,000","61,200","61,200","59,500","2.12M","-1.64%"
"18/07/2022","61,000","61,500","62,900","60,200","2.54M","-0.81%"
"15/07/2022","61,500","62,800","63,200","61,500","3.08M","-1.76%"
"14/07/2022","62,600","62,900","64,000","62,300","2.13M","-1.57%"
"13/07/2022","63,600","64,000","64,200","61,900","3.10M","-1.24%"
"12/07/2022","64,400","64,800","64,800","64,000","1.61M","-0.16%"
"11/07/2022","64,500","64,800","64,900","64,000","1.37M","-0.77%"
"08/07/2022","65,000","64,700","66,500","64,400","2.59M","1.56%"
"07/07/2022","64,000","64,100","65,000","63,900","1.59M","0.00%"
"06/07/2022","64,000","65,500","66,300","64,000","2.40M","-2.29%"
"05/07/2022","65,500","67,800","67,800","64,000","3.98M","-3.39%"
"04/07/2022","67,800","70,000","70,100","66,600","5.18M","-3.56%"
"01/07/2022","70,300","71,600","71,600","68,800","3.29M","-1.68%"
"30/06/2022","71,500","73,100","73,100","71,200","2.40M","-2.05%"
"29/06/2022","73,000","72,800","74,000","71,100","3.15M","0.27%"
"28/06/2022","72,800","71,000","72,900","71,000","4.12M","1.82%"
"27/06/2022","71,500","71,700","72,500","71,100","3.16M","-0.56%"
"24/06/2022","71,900","73,500","73,500","71,400","2.72M","-0.83%"
"23/06/2022","72,500","70,000","73,500","69,800","4.91M","3.87%"
"22/06/2022","69,800","75,600","75,600","69,200","3.82M","-5.03%"
"21/06/2022","73,500","75,000","75,800","71,000","3.37M","-0.54%"
"20/06/2022","73,900","78,000","78,000","73,600","4.48M","-4.89%"
"17/06/2022","77,700","79,000","79,000","76,300","3.50M","-1.65%"
"16/06/2022","79,000","79,000","79,000","77,600","6.04M","6.97%"
"15/06/2022","73,850","72,500","73,850","72,000","5.12M","2.93%"
"14/06/2022","71,750","69,250","72,150","69,000","3.21M","2.50%"
"13/06/2022","70,000","72,500","73,750","70,000","6.46M","-6.67%"
"10/06/2022","75,000","77,000","77,500","75,000","3.88M","-1.83%"
"09/06/2022","76,400","76,700","77,500","75,650","2.26M","-0.39%"
"08/06/2022","76,700","77,150","78,950","76,700","4.15M","0.26%"
"07/06/2022","76,500","77,000","77,000","74,500","3.69M","-0.46%"
"06/06/2022","76,850","76,502","77,744","76,502","3.78M","0.98%"
"03/06/2022","76,105","73,373","76,651","73,373","3.34M","3.72%"
"02/06/2022","73,373","72,777","74,764","72,280","3.61M","1.51%"
"01/06/2022","72,280","71,982","73,025","71,535","2.12M","0.41%"
"31/05/2022","71,982","72,131","72,131","71,038","1.48M","-0.21%"
"30/05/2022","72,131","72,876","73,273","71,237","2.52M","-1.02%"
"27/05/2022","72,876","69,150","72,975","69,150","5.10M","5.54%"
"26/05/2022","69,051","69,548","69,796","67,560","1.43M","0.00%"
"25/05/2022","69,051","66,766","70,293","66,567","3.12M","4.51%"
"24/05/2022","66,070","65,027","66,070","64,481","1.16M","1.68%"
"23/05/2022","64,977","67,064","67,064","64,580","1.08M","-2.39%"
"20/05/2022","66,567","65,822","67,461","65,573","1.74M","0.75%"
"19/05/2022","66,070","64,580","66,319","64,232","1.68M","-0.37%"
"18/05/2022","66,319","65,424","66,418","64,481","1.61M","1.44%"
"17/05/2022","65,375","62,046","65,375","60,606","2.11M","6.99%"
"16/05/2022","61,103","65,822","65,822","60,208","2.67M","-1.68%"
"13/05/2022","62,146","66,766","67,113","62,146","5.49M","-6.92%"
"12/05/2022","66,766","69,498","69,498","66,766","3.41M","-4.68%"
"11/05/2022","70,044","69,647","70,044","68,157","2.33M","0.64%"
"10/05/2022","69,597","67,064","69,597","66,070","3.64M","2.71%"
"09/05/2022","67,759","71,634","71,684","67,759","5.39M","-6.96%"
"06/05/2022","72,826","72,777","73,969","72,578","2.17M","-1.87%"
"05/05/2022","74,217","74,764","74,764","72,081","2.34M","-0.07%"
"04/05/2022","74,267","74,515","75,260","73,770","2.30M","0.20%"
"29/04/2022","74,118","72,131","74,515","72,131","3.48M","2.90%"
"28/04/2022","72,031","73,273","74,018","71,932","3.05M","-1.49%"
"27/04/2022","73,124","72,528","73,273","71,038","3.44M","-1.08%"
"26/04/2022","73,919","70,044","74,962","69,051","5.44M","2.69%"
"25/04/2022","71,982","76,502","77,148","71,982","7.42M","-7.00%"
"22/04/2022","77,397","77,794","77,993","72,081","8.10M","0.19%"
"21/04/2022","77,247","76,602","78,241","76,353","4.61M","-0.32%"
"20/04/2022","77,496","77,049","79,185","76,403","3.80M","0.00%"
"19/04/2022","77,496","79,334","80,029","76,999","6.57M","-2.62%"
"18/04/2022","79,582","79,980","80,476","79,036","5.23M","0.00%"
"15/04/2022","79,582","78,241","80,427","78,092","4.68M","0.44%"
"14/04/2022","79,235","77,595","80,874","76,999","5.85M","2.11%"
"13/04/2022","77,595","75,012","77,993","74,764","6.81M","2.29%"
"12/04/2022","75,857","74,515","75,857","72,528","5.29M","1.80%"
"08/04/2022","74,515","76,999","76,999","74,515","4.41M","-3.23%"
"07/04/2022","76,999","79,384","79,533","76,304","6.20M","-2.39%"
"06/04/2022","78,887","76,502","80,476","76,204","5.96M","2.32%"
"05/04/2022","77,098","76,254","77,794","76,006","2.52M","0.13%"
"04/04/2022","76,999","78,738","78,837","76,999","2.80M","-0.64%"
"01/04/2022","77,496","73,273","77,496","73,075","8.26M","7.00%"
"31/03/2022","72,429","71,535","73,770","70,789","3.60M","0.97%"
"30/03/2022","71,733","72,280","72,975","69,597","3.39M","-1.43%"
"29/03/2022","72,777","72,280","74,168","71,535","4.68M","1.74%"
"28/03/2022","71,535","69,150","71,584","69,001","7.67M","3.67%"
"25/03/2022","69,001","66,915","69,746","66,418","7.57M","3.66%"
"24/03/2022","66,567","67,064","67,064","66,070","1.83M","-0.74%"
"23/03/2022","67,064","66,915","67,759","66,865","1.59M","-0.15%"
"22/03/2022","67,163","67,064","67,560","66,368","2.09M","0.22%"
"21/03/2022","67,014","65,573","67,014","65,325","1.84M","2.51%"
"18/03/2022","65,375","64,977","65,474","64,977","1.58M","0.61%"
"17/03/2022","64,977","65,474","65,573","64,977","1.38M","-0.46%"
"16/03/2022","65,275","65,176","65,573","64,580","2.11M","0.00%"
"15/03/2022","65,275","64,928","65,275","64,083","2.01M","-0.23%"
"14/03/2022","65,424","65,623","65,971","64,332","2.45M","-0.98%"
"11/03/2022","66,070","66,269","66,269","65,573","1.31M","-0.37%"
"10/03/2022","66,319","66,567","66,567","65,871","1.77M","-0.22%"
"09/03/2022","66,468","66,617","66,617","65,822","2.30M","-0.30%"
"08/03/2022","66,666","66,567","66,815","65,772","3.99M","0.00%"
"07/03/2022","66,666","66,815","67,064","66,567","2.29M","-1.18%"
"04/03/2022","67,461","67,809","67,859","66,865","2.15M","-0.51%"
"03/03/2022","67,809","67,064","67,809","66,368","2.12M","1.49%"
"02/03/2022","66,815","67,461","67,461","66,567","3.34M","-1.10%"
"01/03/2022","67,560","68,008","68,057","67,113","2.42M","0.00%"
"28/02/2022","67,560","67,809","68,554","67,312","3.60M","-1.16%"
"25/02/2022","68,355","68,008","69,448","67,560","5.38M","0.58%"
"24/02/2022","67,958","68,057","68,405","67,312","2.35M","-0.73%"
"23/02/2022","68,455","68,405","69,846","68,008","3.22M","0.07%"
"22/02/2022","68,405","66,070","69,150","65,772","6.55M","2.84%"
"21/02/2022","66,517","65,822","67,014","65,822","1.22M","-0.07%"
"18/02/2022","66,567","65,623","66,567","65,623","935.60K","-0.37%"
"17/02/2022","66,815","65,573","66,815","65,524","2.06M","1.20%"
"16/02/2022","66,021","66,666","66,666","65,375","1.12M","-0.30%"
"15/02/2022","66,219","65,921","66,517","65,325","1.14M","0.98%"
"14/02/2022","65,573","66,517","67,064","65,573","1.91M","-2.44%"
"11/02/2022","67,213","67,064","67,560","67,064","1.08M","-0.73%"
"10/02/2022","67,710","68,057","68,157","66,815","1.81M","-0.51%"
"09/02/2022","68,057","67,710","68,306","67,560","2.41M","0.51%"
"08/02/2022","67,710","66,517","67,958","66,517","2.90M","1.79%"
"07/02/2022","66,517","66,070","67,411","66,070","1.86M","1.06%"
"28/01/2022","65,822","65,226","65,822","64,431","1.43M","0.76%"
"27/01/2022","65,325","65,027","65,722","64,182","1.06M","-0.30%"
"26/01/2022","65,524","65,077","65,524","64,083","1.91M","0.69%"
"25/01/2022","65,077","64,481","65,077","63,388","1.61M","0.85%"
"24/01/2022","64,530","65,673","66,170","64,530","1.74M","-2.48%"
"21/01/2022","66,170","66,567","66,567","65,226","1.31M","-0.60%"
"20/01/2022","66,567","66,070","66,567","65,623","1.79M","0.37%"
"19/01/2022","66,319","64,679","66,567","64,580","1.91M","2.61%"
"18/01/2022","64,630","64,083","65,573","63,884","1.63M","0.08%"
"17/01/2022","64,580","66,070","66,517","64,580","1.63M","-2.99%"
"14/01/2022","66,567","67,064","67,064","66,170","936.80K","-1.11%"
"13/01/2022","67,312","67,809","67,809","65,573","1.85M","-0.37%"
"12/01/2022","67,560","65,474","67,560","64,580","1.86M","3.19%"
"11/01/2022","65,474","66,070","66,815","65,424","1.55M","-0.90%"
"10/01/2022","66,070","67,312","67,312","66,070","1.85M","-1.85%"
"07/01/2022","67,312","68,306","68,306","67,312","1.84M","-1.45%"
"06/01/2022","68,306","68,107","68,951","67,809","1.54M","0.29%"
"05/01/2022","68,107","68,455","69,200","68,107","2.36M","-0.51%"
"04/01/2022","68,455","67,511","69,150","67,014","2.66M","1.40%"
"31/12/2021","67,511","66,716","67,511","66,269","2.26M","1.19%"
"30/12/2021","66,716","66,815","67,262","66,567","1.67M","-0.07%"
"29/12/2021","66,766","66,865","67,560","66,617","1.27M","-1.03%"
"28/12/2021","67,461","67,312","67,461","66,120","1.49M","0.67%"
"27/12/2021","67,014","66,915","67,262","66,070","1.45M","0.22%"
"24/12/2021","66,865","66,368","66,865","65,822","1.12M","0.75%"
"23/12/2021","66,368","66,964","67,461","65,474","1.87M","-0.89%"
"22/12/2021","66,964","66,368","68,057","66,269","2.60M","1.35%"
"21/12/2021","66,070","66,070","66,070","65,623","947.20K","0.00%"
"20/12/2021","66,070","66,319","66,865","65,822","1.59M","-1.12%"
"17/12/2021","66,815","66,368","67,064","66,120","1.47M","0.67%"
"16/12/2021","66,368","67,560","67,560","66,368","1.62M","-1.69%"
"15/12/2021","67,511","67,262","67,560","66,567","1.20M","0.37%"
"14/12/2021","67,262","66,915","67,560","66,319","1.33M","0.37%"
"13/12/2021","67,014","66,766","67,014","66,567","1.29M","0.60%"
"10/12/2021","66,617","66,120","67,014","66,070","1.41M","0.07%"
"09/12/2021","66,567","66,517","67,064","66,319","1.38M","0.07%"
"08/12/2021","66,517","66,368","67,064","66,070","1.38M","0.30%"
"07/12/2021","66,319","65,275","66,319","65,275","1.33M","1.60%"
"06/12/2021","65,275","66,319","66,319","63,040","3.35M","-1.57%"
"03/12/2021","66,319","67,710","68,057","66,319","2.10M","-2.55%"
"02/12/2021","68,057","68,951","68,951","67,958","1.23M","-1.37%"
"01/12/2021","69,001","67,809","69,548","67,610","2.99M","0.00%"
"30/11/2021","69,001","68,802","69,498","68,008","2.18M","1.02%"
"29/11/2021","68,306","69,001","69,895","68,256","4.74M","-2.83%"
"26/11/2021","70,293","71,932","72,280","70,293","2.52M","-2.41%"
"25/11/2021","72,031","71,584","72,031","70,789","1.69M","0.69%"
"24/11/2021","71,535","71,038","71,535","70,193","2.98M","0.70%"
"23/11/2021","71,038","68,852","71,535","68,604","3.85M","3.17%"
"22/11/2021","68,852","69,548","69,746","68,554","2.23M","-0.29%"
"19/11/2021","69,051","69,548","70,044","67,560","2.76M","0.00%"
"18/11/2021","69,051","68,703","70,293","67,958","4.26M","0.80%"
"17/11/2021","68,504","68,405","68,554","67,660","1.72M","0.00%"
"16/11/2021","68,504","68,554","69,051","67,560","2.98M","-1.08%"
"15/11/2021","69,250","67,710","69,498","67,710","5.26M","2.50%"
"12/11/2021","67,560","67,560","67,560","66,517","2.37M","0.74%"
"11/11/2021","67,064","65,325","67,560","64,828","8.88M","2.66%"
"10/11/2021","65,325","64,580","65,325","64,332","1.53M","1.15%"
"09/11/2021","64,580","65,474","65,573","64,580","2.10M","-1.22%"
"08/11/2021","65,375","65,573","66,070","65,375","2.25M","-0.30%"
"05/11/2021","65,573","66,070","66,070","65,077","3.27M","1.62%"
"04/11/2021","64,530","63,835","64,878","63,586","1.90M","0.85%"
"03/11/2021","63,984","64,033","64,580","63,338","2.81M","-0.08%"
"02/11/2021","64,033","63,835","64,530","63,835","1.73M","-0.85%"
"01/11/2021","64,580","65,325","65,474","64,083","2.28M","-1.07%"
"29/10/2021","65,275","65,325","65,524","65,027","2.69M","-0.45%"
"28/10/2021","65,573","65,226","65,822","63,835","2.38M","0.00%"
"27/10/2021","65,573","63,586","66,021","63,586","4.13M","3.13%"
"26/10/2021","63,586","63,586","63,586","63,040","1.99M","-0.31%"
"25/10/2021","63,785","63,586","64,481","63,586","1.85M","0.63%"
"22/10/2021","63,388","63,735","63,785","63,139","1.85M","0.47%"
"21/10/2021","63,090","64,182","64,580","63,090","2.94M","-1.70%"
"20/10/2021","64,182","64,530","65,077","63,586","2.67M","-0.39%"
"19/10/2021","64,431","64,530","65,077","64,133","2.30M","-0.77%"
"18/10/2021","64,928","65,673","66,021","64,928","2.93M","-1.28%"
"15/10/2021","65,772","66,319","66,418","65,573","1.65M","-0.82%"
"14/10/2021","66,319","66,567","66,964","65,573","3.85M","-0.30%"
"13/10/2021","66,517","65,722","66,666","65,623","3.79M","1.36%"
"12/10/2021","65,623","64,332","65,971","64,332","4.56M","2.01%"
"11/10/2021","64,332","64,033","64,431","63,338","3.50M","0.54%"
"08/10/2021","63,984","63,338","64,332","63,239","3.01M","0.62%"
"07/10/2021","63,586","63,239","63,735","63,239","1.93M","-0.23%"
"06/10/2021","63,735","62,941","64,580","62,792","3.38M","1.18%"
"05/10/2021","62,990","62,593","62,990","62,146","1.88M","0.48%"
"04/10/2021","62,692","62,096","62,692","61,252","4.38M","0.00%"
"01/10/2021","62,692","63,090","63,487","62,593","2.17M","-1.25%"
"30/09/2021","63,487","63,487","64,083","62,941","2.09M","0.00%"
"29/09/2021","63,487","62,990","63,835","62,990","2.42M","0.87%"
"28/09/2021","62,941","61,897","63,090","61,550","2.69M","0.56%"
"27/09/2021","62,593","64,083","64,083","62,593","7.48M","-3.45%"
